vote_event_id,voter_id,option,group_id,
1001,2014-538523-1-470-6,yes,nk_party,
1001,2014-538523-1-470-9,yes,nk_party,
1001,2014-538523-1-470-7,yes,nk_party,
1001,2014-538523-1-901-1,yes,nk_party,
1001,2014-538523-1-470-1,yes,nk_party,
1001,2014-538523-1-470-4,yes,nk_party,
1001,2014-538523-1-901-8,yes,nk_party,
1001,2014-538523-1-721-5,yes,top-09_party,
1001,2014-538523-1-721-6,yes,top-09_party,
1001,2014-538523-1-470-8,yes,nk_party,
1001,2014-538523-1-901-2,yes,nk_party,
1001,2014-538523-1-470-2,yes,stan_party,
1001,2014-538523-1-721-1,yes,top-09_party,
1001,2014-538523-1-470-5,yes,nk_party,
1001,2014-538523-1-470-3,yes,nk_party,
1002,2014-538523-1-470-6,yes,nk_party,
1002,2014-538523-1-470-9,yes,nk_party,
1002,2014-538523-1-470-7,yes,nk_party,
1002,2014-538523-1-901-1,yes,nk_party,
1002,2014-538523-1-470-1,yes,nk_party,
1002,2014-538523-1-470-4,yes,nk_party,
1002,2014-538523-1-901-8,yes,nk_party,
1002,2014-538523-1-721-5,yes,top-09_party,
1002,2014-538523-1-721-6,yes,top-09_party,
1002,2014-538523-1-470-8,yes,nk_party,
1002,2014-538523-1-901-2,yes,nk_party,
1002,2014-538523-1-470-2,yes,stan_party,
1002,2014-538523-1-721-1,yes,top-09_party,
1002,2014-538523-1-470-5,yes,nk_party,
1002,2014-538523-1-470-3,yes,nk_party,
1003,2014-538523-1-470-6,yes,nk_party,
1003,2014-538523-1-470-9,yes,nk_party,
1003,2014-538523-1-470-7,yes,nk_party,
1003,2014-538523-1-901-1,yes,nk_party,
1003,2014-538523-1-470-1,yes,nk_party,
1003,2014-538523-1-470-4,yes,nk_party,
1003,2014-538523-1-901-8,yes,nk_party,
1003,2014-538523-1-721-5,yes,top-09_party,
1003,2014-538523-1-721-6,yes,top-09_party,
1003,2014-538523-1-470-8,yes,nk_party,
