id,name,organization:party,organization:affiliation,organization:list,
2014-549975-1-902-3,Bauška Zdeněk,nk_party,bezpp_affiliation,902_list,
2014-549975-1-901-4,Dvořáková Libuše,nk_party,bezpp_affiliation,901_list,
2014-549975-1-901-1,Lešek Jiří Ing.,nk_party,bezpp_affiliation,901_list,
2014-549975-1-901-3,Nováková Jana,nk_party,bezpp_affiliation,901_list,
2014-549975-1-902-5,Palán František,nk_party,bezpp_affiliation,902_list,
2014-549975-1-901-2,Pletka Petr,nk_party,bezpp_affiliation,901_list,
2014-549975-1-902-1,Tomášek Václav Ing.,nk_party,bezpp_affiliation,902_list,
