id,name,organization:party,organization:affiliation,organization:list,
2014-540188-1-808-1,Cajthaml Jan,nk_party,bezpp_affiliation,808_list,
2014-540188-1-813-1,Fuxová Ivana,nk_party,bezpp_affiliation,813_list,
2014-540188-1-806-1,Hudecová Alena,nk_party,bezpp_affiliation,806_list,
2014-540188-1-810-1,Kadlec Ondřej,nk_party,bezpp_affiliation,810_list,
2014-540188-1-812-1,Mašek Jiří,nk_party,bezpp_affiliation,812_list,
2014-540188-1-801-1,Pilous Jan Ing.,nk_party,bezpp_affiliation,801_list,
2014-540188-1-805-1,Routa Josef,nk_party,bezpp_affiliation,805_list,
2014-540188-1-811-1,Říha Jan,nk_party,bezpp_affiliation,811_list,
2014-540188-1-807-1,Šimková Helena,nk_party,bezpp_affiliation,807_list,
