id,name,group:id
3165,Alena Samková,ODS
3183,Bohumil Černý,ODS
3492,František Adámek,ČSSD
2911,František Bílek,ODS
4039,František Hoffman,KSČM
4071,František Laudát,ODS
4080,František Stádník,ODS
3459,Hana Halová,ČSSD
4060,Igor Němec,ODS
3444,Ivan Bednář,ODS
4002,Ivana Bursíková,SD-SN
3445,Jan Bürgermeister,ODS
3461,Jan Choděra,ČSSD
4050,Jan Kasl,SD-SN
3351,Jan Lukavský,ODS
3475,Jan Mihaliček,SD-SN
3167,Jan Slezák,ČSSD
3168,Jan Štrof,ČSSD
3172,Jana Vohralíková,SD-SN
4043,Jiří Kaňák,SD-SN
4061,Jiří Paroubek,ČSSD
4114,Jiří Witzany,SD-SN
3473,Josef Mach,KSČM
3163,Josef Růžička,KSČM
3456,Karel Fischer,SD-SN
3469,Karel Koželuh,SD-SN
3474,Karel Matouš,ČSSD
3460,Lubomír Habrnal,ČSSD
4040,Marián Hošek,KDU-ČSL
3230,Marie Kousalíková,ODS
3480,Markéta Reedová,SD-SN
4038,Martin Hejl,ODS
3470,Martin Kroh,SD-SN
3471,Martin Langmajer,ODS
3458,Michael Gregor,ODS
4042,Michael Hvížďala,US-DEU
3455,Milan Český,ODS
3689,Milan Jančík,ODS
3169,Milan Urban,SD-SN
3457,Miloš Gregar,ODS
3472,Miloslav Ludvík,ČSSD
3454,Miroslav Froněk,ODS
3478,Miroslav Poche,ČSSD
3920,Miroslav Prokeš,KSČM
3462,Monika Janíková,SD-SN
3166,Olga Sedláčková,SD-SN
3185,Ondřej Gál,ODS
3186,Ondřej Pecha,ODS
3447,Pavel Ambrož,KSČM
3632,Pavel Bém,ODS
3184,Pavel Hurda,ODS
3464,Pavel Klega,ODS
4121,Pavel Žďárský,ODS
3174,Petr Horák,US-DEU
4041,Petr Hulinský,ČSSD
3173,Petr Jirava,SNK ED
3538,Petr Kužel,ODS
3179,Petr Moos,SNK ED
3171,Petr Vlasák,SD-SN
4115,Petr Zajíček,KSČM
4097,Radovan Šteiner,ODS
3476,Richard Nigrini,ODS
4014,Rudolf Blažek,ODS
3446,Tomáš Dub,ODS
3477,Tomáš Novotný,ČSSD
3170,Tomáš Vavřinec,ODS
4079,Viktor Pázler,KSČM
3463,Vítězslav Jaroš,KSČM
3479,Vladimír Polanecký,ČSSD
3164,Vladimír Řihák,ODS
3448,Zdeněk Bašný,SD-SN
2923,Zdeněk Kovářík,ODS
