id,classification_id,classification,name,
top-09_party,party,Navrhující strana,TOP 09,
ods_party,party,Navrhující strana,Občanská demokratická strana,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
stan_party,party,Navrhující strana,STAROSTOVÉ A NEZÁVISLÍ,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
kdu-csl_affiliation,affiliation,Stranická příslušnost,Křesťan.a demokrat.unie-Českosl.strana lidová,
721_list,list,Kandidátní listina,TOP 09,
53_list,list,Kandidátní listina,Občanská demokratická strana,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
470_list,list,Kandidátní listina,"Sdružení "STAN", NK",
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
