id,name,organization:party,organization:affiliation,organization:list,
2014-558486-1-902-3,Drda Stanislav,nk_party,bezpp_affiliation,902_list,
2014-558486-1-902-1,Fink Václav Ing.,nk_party,bezpp_affiliation,902_list,
2014-558486-1-902-4,Holeček Jaroslav Ing.,nk_party,bezpp_affiliation,902_list,
2014-558486-1-902-2,Kocourková Anna,nk_party,bezpp_affiliation,902_list,
2014-558486-1-903-5,Koukolík František MVDr.,nk_party,bezpp_affiliation,903_list,
2014-558486-1-903-1,Nedvěd Karel Ing.,nk_party,bezpp_affiliation,903_list,
2014-558486-1-901-1,Nosek Josef,nk_party,bezpp_affiliation,901_list,
2014-558486-1-901-5,Štollová Renata Mgr.,nk_party,bezpp_affiliation,901_list,
2014-558486-1-901-2,Vlček Jiří,nk_party,bezpp_affiliation,901_list,
