"classification","id"
"Navrhující strana","ÈSSD"
"Navrhující strana","KSÈM"
"Navrhující strana","ANO 2011"
"Navrhující strana","Hnutí p.H."
"Navrhující strana","KDU-ÈSL"
"Navrhující strana","ODS"
"Navrhující strana","Nezaøazení"
"Navrhující strana","TOP09"
"Navrhující strana","NEZ"
"Navrhující strana","VV"
"Navrhující strana","Bez p.p"
"Navrhující strana","bez pol.pø"
"Navrhující strana","SZR"
