"group:id","option","vote_event:id","voter:id"
"KDU-ÈSL","Pro","28zmh/h002","Alena Adamová"
"ÈSSD","Pro","28zmh/h002","Ladislav Nedorost"
"ODS","Pro","28zmh/h002","Ing. Michal Brabec"
"ÈSSD","Pro","28zmh/h002","Jiøina Brablcová"
"KSÈM","Pro","28zmh/h002","Petr Drápal"
"ODS","Pro","28zmh/h002","Libor Ètvrtka"
"KDU-ÈSL","Pro","28zmh/h002","Libor Foltýn"
"KSÈM","Pro","28zmh/h002","Ing. Jaroslav Gongol, CSc."
"KSÈM","Pro","28zmh/h002","PaedDr. Milada Halíková"
"KSÈM","Pro","28zmh/h002","Ing. Miloslav Hanus"
"KSÈM","Pro","28zmh/h002","Ing. Eduard Heczko"
"ÈSSD","Omluven","28zmh/h002","MUDr. Karel Herboczek"
"Hnutí p.H.","Omluven","28zmh/h002","MUDr. Jiøina Heroková"
"KSÈM","Pro","28zmh/h002","Danuše Holeksová"
"KSÈM","Omluven","28zmh/h002","Ing. František Jasiok"
"KSÈM","Pro","28zmh/h002","Jaroslav Jeziorski"
"ODS","Nehlasoval","28zmh/h002","Pøemysl Novara"
"ÈSSD","Pro","28zmh/h002","Vojtìch Kozák"
"bez pol.pø","Nehlasoval","28zmh/h002","MUDr. Otakar Lucák"
"ODS","Pro","28zmh/h002","Rostislav Gattnar"
"ÈSSD","Pro","28zmh/h002","Radim Mudra"
"Hnutí p.H.","Pro","28zmh/h002","Pavel Khek"
"ODS","Pro","28zmh/h002","MUDr. Irka Musál"
"KSÈM","Pro","28zmh/h002","RSDr. Jiøí Novák"
"ÈSSD","Pro","28zmh/h002","PaedDr. Svatopluk Novák"
"KSÈM","Pro","28zmh/h002","Doc. RSDr. Eduard Pawera, CSc."
"ÈSSD","Pro","28zmh/h002","Ing. Bøetislav Petr"
"KDU-ÈSL","Pro","28zmh/h002","Bc. Marek Plawny"
"ODS","Pro","28zmh/h002","Ing. Petr Podstavka"
"KSÈM","Pro","28zmh/h002","Marcela Polanská"
"KSÈM","Pro","28zmh/h002","Karel Sachmerda"
"SZR","Pro","28zmh/h002","JUDr. Antonín Seidler"
"Hnutí p.H.","Pro","28zmh/h002","Ing. Petr Smrèek"
"ÈSSD","Pro","28zmh/h002","Jarmila Svìtlíková"
"ÈSSD","Pro","28zmh/h002","Antonín Sýkora"
"ÈSSD","Nehlasoval","28zmh/h002","Ing. Tamara Šeligová"
