vote_event:id,voter:id,option
29445,3492,yes
29445,4014,yes
29445,4339,yes
29445,4340,yes
29445,3967,yes
29445,4306,yes
29445,4342,yes
29445,4344,not voting
29445,4346,yes
29445,4085,not voting
29445,4347,yes
29445,4041,yes
29445,3184,absent
29445,4348,yes
29445,4369,yes
29445,4370,yes
29445,4371,yes
29445,3464,absent
29445,4349,not voting
29445,3230,yes
29445,4307,yes
29445,4308,yes
29445,4309,yes
29445,4372,yes
29445,4048,yes
29445,3472,yes
29445,4373,yes
29445,4065,yes
29445,3337,yes
29445,4374,yes
29445,4375,yes
29445,4310,yes
29445,3186,yes
29445,4311,yes
29445,4312,not voting
29445,4313,yes
29445,3478,yes
29445,4314,yes
29445,4345,absent
29445,3762,yes
29445,4315,absent
29445,3167,yes
29445,4316,yes
29445,4093,yes
29445,4317,yes
29445,4318,yes
29445,4319,yes
29445,4320,yes
29445,4321,not voting
29445,4322,yes
29445,4323,yes
29445,4350,yes
29445,3169,yes
29445,4355,yes
29445,4624,yes
29445,4351,yes
29445,4352,yes
29445,4216,absent
29445,4324,yes
29445,4325,yes
29445,3926,yes
29445,4353,yes
29445,3484,yes
24332,3492,yes
24332,4014,yes
24332,4339,yes
24332,4340,yes
24332,3967,yes
24332,4306,absent
24332,4341,yes
24332,4342,yes
24332,4344,yes
24332,4345,yes
24332,4346,yes
24332,4085,yes
24332,4347,yes
24332,4041,yes
24332,3184,yes
24332,4348,yes
24332,4369,yes
24332,4370,yes
24332,4371,yes
24332,3464,yes
24332,4349,yes
24332,3230,yes
24332,4307,yes
24332,4308,yes
24332,4309,yes
24332,4372,yes
24332,4048,yes
24332,3472,yes
24332,4373,yes
24332,4065,yes
24332,3337,yes
24332,4374,yes
24332,4375,yes
24332,4310,yes
24332,3186,yes
24332,4311,yes
24332,4312,yes
24332,4313,absent
24332,3478,yes
24332,4684,yes
24332,4314,yes
24332,3762,yes
24332,4315,yes
24332,3167,yes
24332,4316,yes
24332,4093,yes
24332,4683,yes
24332,4317,yes
24332,4318,yes
24332,4319,yes
24332,4320,yes
24332,4321,yes
24332,4322,yes
24332,4323,yes
24332,4350,yes
24332,3169,yes
24332,4355,not voting
24332,4351,yes
24332,4352,yes
24332,4324,yes
24332,4325,yes
24332,3926,yes
24332,4353,yes
27407,3492,yes
27407,4014,yes
27407,4339,yes
27407,4340,yes
27407,3967,yes
27407,4306,absent
27407,4342,yes
27407,4344,yes
27407,4346,not voting
27407,4085,yes
27407,4347,yes
27407,4041,yes
27407,3184,yes
27407,4348,yes
27407,4369,yes
27407,4370,yes
27407,4371,yes
27407,3464,not voting
27407,4349,absent
27407,3230,not voting
27407,4307,yes
27407,4308,yes
27407,4309,yes
27407,4372,yes
27407,4048,yes
27407,3472,yes
27407,4373,yes
27407,4065,not voting
27407,3337,yes
27407,4374,yes
27407,4375,yes
27407,4310,yes
27407,3186,not voting
27407,4311,yes
27407,4312,yes
27407,4313,yes
27407,3478,yes
27407,4314,yes
27407,4345,yes
27407,3762,yes
27407,4315,yes
27407,3167,yes
27407,4316,yes
27407,4093,yes
27407,4317,yes
27407,4318,yes
27407,4319,yes
27407,4320,yes
27407,4321,yes
27407,4322,yes
27407,4323,absent
27407,4350,yes
27407,3169,yes
27407,4355,yes
27407,4624,yes
27407,4351,yes
27407,4352,yes
27407,4216,yes
27407,4324,yes
27407,4325,yes
27407,3926,yes
27407,4353,yes
27407,3484,absent
26140,3492,yes
26140,4014,absent
26140,4339,yes
26140,4340,yes
26140,3967,yes
26140,4306,absent
26140,4342,yes
26140,4344,yes
26140,4345,yes
26140,4346,absent
26140,4085,yes
26140,4347,yes
26140,4041,yes
26140,3184,absent
26140,4348,yes
26140,4369,absent
26140,4370,absent
26140,4371,yes
26140,3464,absent
26140,4349,absent
26140,3230,absent
26140,4307,absent
26140,4308,yes
26140,4309,yes
26140,4372,yes
26140,4048,absent
26140,3472,yes
26140,4373,yes
26140,4065,absent
26140,3337,absent
26140,4374,absent
26140,4375,yes
26140,4310,yes
26140,3186,yes
26140,4311,yes
26140,4312,yes
26140,4313,yes
26140,3478,yes
26140,4684,absent
26140,4314,yes
26140,3762,yes
26140,4315,absent
26140,3167,not voting
26140,4316,yes
26140,4093,yes
26140,4683,absent
26140,4317,yes
26140,4318,yes
26140,4319,yes
26140,4320,yes
26140,4321,yes
26140,4322,yes
26140,4323,yes
26140,4350,absent
26140,3169,yes
26140,4355,yes
26140,4624,yes
26140,4351,yes
26140,4352,yes
26140,4324,not voting
26140,4325,yes
26140,3926,not voting
26140,4353,absent
25123,3492,yes
25123,4014,yes
25123,4339,yes
25123,4340,yes
25123,3967,yes
25123,4306,yes
25123,4341,yes
25123,4342,yes
25123,4344,yes
25123,4345,yes
25123,4346,yes
25123,4085,yes
25123,4347,yes
25123,4041,yes
25123,3184,yes
25123,4348,yes
25123,4369,yes
25123,4370,yes
25123,4371,yes
25123,3464,yes
25123,4349,yes
25123,3230,yes
25123,4307,yes
25123,4308,yes
25123,4309,yes
25123,4372,yes
25123,4048,absent
25123,3472,yes
25123,4373,yes
25123,4065,absent
25123,3337,yes
25123,4374,absent
25123,4375,yes
25123,4310,yes
25123,3186,yes
25123,4311,yes
25123,4312,yes
25123,4313,yes
25123,3478,yes
25123,4684,yes
25123,4314,yes
25123,3762,yes
25123,4315,yes
25123,3167,yes
25123,4316,yes
25123,4093,yes
25123,4683,yes
25123,4317,yes
25123,4318,yes
25123,4319,yes
25123,4320,yes
25123,4321,yes
25123,4322,yes
25123,4323,yes
25123,4350,yes
25123,3169,yes
25123,4355,absent
25123,4351,yes
25123,4352,yes
25123,4324,yes
25123,4325,not voting
25123,3926,yes
25123,4353,yes
25381,3492,yes
25381,4014,absent
25381,4339,not voting
25381,4340,not voting
25381,3967,yes
25381,4306,yes
25381,4341,not voting
25381,4342,yes
25381,4344,yes
25381,4345,abstain
25381,4346,yes
25381,4085,yes
25381,4347,yes
25381,4041,yes
25381,3184,yes
25381,4348,yes
25381,4369,yes
25381,4370,yes
25381,4371,yes
25381,3464,yes
25381,4349,absent
25381,3230,absent
25381,4307,not voting
25381,4308,yes
25381,4309,absent
25381,4372,yes
25381,4048,yes
25381,3472,absent
25381,4373,yes
25381,4065,yes
25381,3337,yes
25381,4374,yes
25381,4375,yes
25381,4310,absent
25381,3186,yes
25381,4311,not voting
25381,4312,not voting
25381,4313,not voting
25381,3478,absent
25381,4684,absent
25381,4314,yes
25381,3762,not voting
25381,4315,yes
25381,3167,absent
25381,4316,yes
25381,4093,yes
25381,4683,yes
25381,4317,yes
25381,4318,yes
25381,4319,yes
25381,4320,yes
25381,4321,yes
25381,4322,yes
25381,4323,yes
25381,4350,yes
25381,3169,yes
25381,4355,yes
25381,4351,yes
25381,4352,yes
25381,4324,yes
25381,4325,yes
25381,3926,yes
25381,4353,absent
29733,3492,yes
29733,4014,not voting
29733,4339,yes
29733,4340,yes
29733,3967,not voting
29733,4306,not voting
29733,4342,yes
29733,4344,yes
29733,4346,yes
29733,4085,not voting
29733,4347,yes
29733,4041,not voting
29733,3184,not voting
29733,4348,yes
29733,4369,not voting
29733,4370,absent
29733,4371,yes
29733,3464,absent
29733,4349,not voting
29733,3230,absent
29733,4307,yes
29733,4308,yes
29733,4309,absent
29733,4372,yes
29733,4048,yes
29733,3472,yes
29733,4373,yes
29733,4065,yes
29733,3337,not voting
29733,4374,yes
29733,4375,yes
29733,4310,yes
29733,3186,absent
29733,4311,yes
29733,4312,yes
29733,4313,yes
29733,3478,not voting
29733,4314,yes
29733,4345,yes
29733,3762,yes
29733,4315,absent
29733,3167,yes
29733,4316,absent
29733,4093,yes
29733,4317,yes
29733,4318,yes
29733,4319,yes
29733,4320,yes
29733,4321,yes
29733,4322,yes
29733,4323,absent
29733,4350,absent
29733,3169,yes
