"classification","group:id"
"Navrhující strana","BRNO2006"
"Navrhující strana","ČSSD"
"Navrhující strana","KDU-ČSL"
"Navrhující strana","KSČM"
"Navrhující strana","ODS"
"Navrhující strana","SZ"
