id,legislative_session:number,start_date,item:title,item:number,motion:title,
9006,9,2015-08-11,Rozpočtové opatření č. 4,6,Zastupitelstvo obce schválilo rozpočtové opatření č. 4.,
9007,9,2015-08-11,Ostatní,8,Zastupitelstvo obce schválilo smlouvu se společností Elektrowin o zajištění zpětného odběru elektrozařízení.,
9008,9,2015-08-11,Ostatní,8,"Zastupitelstvo obce schválilo částku 8.000,- Kč na organizování okresní soutěže v požárním sportu kategorie muži nad 35 let, která se bude konat 19.9. 2015 v Budínku.",
9009,9,2015-08-11,Ostatní,8,"schválení prezentace obce v publikaci ČČK za částku 6.490,- Kč",
10001,10,2015-09-08,Úvod,1,schválení programu zasedání,
10002,10,2015-09-08,Obecní vyhláška – psi,2,Zastupitelstvo obce schválilo obecní vyhlášku o pohybu psů v katastru obce Svaté Pole.,
10003,10,2015-09-08,Cenová nabídka zařízení pro přenos dat pro měření spotřeby vody,3,"Zastupitelstvo Obce Svaté Pole rozhodlo o pořízení digitálního zařízení pro měření spotřeby vody za zvýhodněnou nabídku 68.825,- Kč pro obec Svaté Pole.",
10004,10,2015-09-08,Schválení fondu rezerv pro opravy vodovodního a kanalizačního potrubí,5,Zastupitelstvo obce schválilo fond rezerv pro opravy vodovodního a kanalizačního potrubí.,
10005,10,2015-09-08,Prodej pozemků,7,"Zastupitelstvo obce schválilo prodej pozemku parc. č. 71/29 o výměře 111 m2 v k.ú. Svaté Pole a pozemků parc. č. 71/90 o výměře 14 m2 a parc. č. 30 část c) o výměře 8 m2 a část e) o výměře 8 m2 v k.ú. Svaté Pole. Zastupitelstvo rozhodlo, že pozemek parc. č. 71/29 bude prodán panu Václavu Holému, Nesvačily 26, 267 27 Liteň, neboť tento pozemek ve vlastnictví obce přímo přiléhá podstatnou částí obvodu k pozemku ve vlastnictví pana Holého. Pozemky parc. č. 71/90 a parc. č. 30 část c)a část e) budou prodány manželům Hoffmanovým.",
10006,10,2015-09-08,Rozpočtový výhled do roku 2019,8,Zastupitelstvo obce schválilo rozpočtový výhled do dalších let. Rozpočtový výhled 2015 – 2019.,
10007,10,2015-09-08,Ostatní,9,Zastupitelstvo schválilo odměny pro pedagogické pracovníky a provozní zaměstnance mateřské školy ve Svatém Poli.,
10008,10,2015-09-08,Ostatní,9,"Zastupitelstvo obce schválilo na základě žádosti paní Lenky Čechové sociální příspěvek pro dceru Lucii ve výši 10.000,- Kč ze sociálního fondu obce Svaté Pole.",
