"id","legislative_session:number","motion:title","number","result","start_date","start_time"
"24zmh_2010/h001","24","01. Schválení pøedsednictva 24. zasedání ZMH dne","1","SCHVÁLENO","20.9.2010","8:03:46"
"24zmh_2010/h002","24","02. Schválení programu 24. zasedání ZMH dne 20.9.","2","SCHVÁLENO","20.9.2010","8:07:39"
"24zmh_2010/h003","24","03. Schválení ovìøovatelù zápisu z 24. zasedání Z","3","SCHVÁLENO","20.9.2010","8:09:33"
"24zmh_2010/h004","24","04. Ovìøení zápisu z 23. zasedání ZMH, konaného d","4","SCHVÁLENO","20.9.2010","8:11:28"
"24zmh_2010/h005","24","05. Kontrola plnìní usnesení ZMH","5","SCHVÁLENO","20.9.2010","8:12:33"
"24zmh_2010/h006","24","06. Sníení pøíspìvku na provoz a poskytnutí inve","6","SCHVÁLENO","20.9.2010","8:13:30"
"24zmh_2010/h007","24","07. Rozdìlení vıtìku tomboly poøádané pøi konání","7","SCHVÁLENO","20.9.2010","8:14:08"
"24zmh_2010/h008","24","08. Zapojení schválené neinvestièní rozpoètové re","8","SCHVÁLENO","20.9.2010","8:14:49"
"24zmh_2010/h009","24","09. Zvıšení pøíspìvku na provoz základních škol v","9","SCHVÁLENO","20.9.2010","8:15:26"
"24zmh_2010/h010","24","10. Zmìna financování projektù 6 základních škol","10","SCHVÁLENO","20.9.2010","8:16:03"
"24zmh_2010/h012","24","11. Dohoda o revizní komisi - havíøovskı hokej","12","SCHVÁLENO","20.9.2010","8:28:19"
"24zmh_2010/h013","24","12. Návrh na poskytnutí dotací z rozpoètu mìsta H","13","SCHVÁLENO","20.9.2010","8:29:00"
"24zmh_2010/h014","24","13. Informace o spolupráci mìsta Havíøova s Agen","14","SCHVÁLENO","20.9.2010","8:31:15"
"24zmh_2010/h017","24","14. ádost o poskytnutí finanèního pøíspìvku na v","17","SCHVÁLENO","20.9.2010","9:08:53"
"24zmh_2010/h018","24","15. Mìstskı program prevence kriminality na rok 2","18","SCHVÁLENO","20.9.2010","9:09:53"
"24zmh_2010/h019","24","16. Návrh obecnì závazné vyhlášky, kterou se vydá","19","SCHVÁLENO","20.9.2010","9:10:33"
"24zmh_2010/h020","24","17. Návrh obecnì závazné vyhlášky, kterou se vydá","20","SCHVÁLENO","20.9.2010","9:11:23"
"24zmh_2010/h021","24","18. Návrh obecnì závazné vyhlášky, kterou se vydá","21","SCHVÁLENO","20.9.2010","9:12:05"
"24zmh_2010/h022","24","19. Èerpání Fondu pro zvıšení bezpeènosti a ochra","22","SCHVÁLENO","20.9.2010","9:12:48"
"24zmh_2010/h023","24","20. Informativní zpráva o èinnosti Mìstské polici","23","SCHVÁLENO","20.9.2010","9:13:25"
"24zmh_2010/h024","24","21. Plnìní rozpoètu mìsta Havíøova a hospodáøsk","24","SCHVÁLENO","20.9.2010","9:14:13"
"24zmh_2010/h025","24","22. Návrh úprav rozpoètu III. na rok 2010 - rozpo","25","SCHVÁLENO","20.9.2010","9:14:59"
"24zmh_2010/h026","24","23. Hospodáøská èinnost mìsta Havíøova - návrh ro","26","SCHVÁLENO","20.9.2010","9:15:39"
"24zmh_2010/h027","24","24. Privatizace bytového fondu v majetku statutár","27","SCHVÁLENO","20.9.2010","9:16:22"
"24zmh_2010/h028","24","25. Zámìr prodeje èásti pozemku parc.è. 1197/114,","28","SCHVÁLENO","20.9.2010","9:17:01"
"24zmh_2010/h029","24","26. Zámìr prodeje pozemkù parc.è. 2055/1, 2055/2","29","SCHVÁLENO","20.9.2010","9:17:42"
"24zmh_2010/h030","24","27. Zámìr prodeje pozemku parc. è. 4601, k.ú. Hav","30","SCHVÁLENO","20.9.2010","9:18:22"
"24zmh_2010/h031","24","28. Zámìr smìny pozemkù, k.ú. Havíøov-mìsto","31","SCHVÁLENO","20.9.2010","9:18:58"
"24zmh_2010/h032","24","29. Prodej èásti pozemku parc.è. 1405/75, k.ú. P","32","SCHVÁLENO","20.9.2010","9:19:38"
"24zmh_2010/h033","24","30. Prodej èásti pozemku parc.è. 944/445, k.ú. Š","33","SCHVÁLENO","20.9.2010","9:20:18"
"24zmh_2010/h034","24","31. Prodej èásti pozemku parc.è. 1064/2, k.ú. Blu","34","SCHVÁLENO","20.9.2010","9:20:56"
"24zmh_2010/h035","24","32. Prodej pozemku parc.è. 1629/39, k.ú. Bludovic","35","SCHVÁLENO","20.9.2010","9:21:34"
"24zmh_2010/h036","24","33. Smìna pozemku parc.è. 6/6, k.ú. Bludovice","36","SCHVÁLENO","20.9.2010","9:22:12"
"24zmh_2010/h037","24","34. Smìna èásti pozemku parc.è. 4068, k.ú. Havíøo","37","SCHVÁLENO","20.9.2010","9:22:54"
"24zmh_2010/h038","24","35. Vıkup pozemkù parc.è. 1274/2, 1274/3, 1274/4","38","SCHVÁLENO","20.9.2010","9:23:40"
"24zmh_2010/h039","24","36. Uzavøení majetkoprávního vztahu k èásti pozem","39","SCHVÁLENO","20.9.2010","9:24:23"
"24zmh_2010/h040","24","37. Smluvní vztah pro stavbu : &quot; Protipovodòová h","40","SCHVÁLENO","20.9.2010","9:24:59"
"24zmh_2010/h041","24","38. Zmìna podmínek bezúplatného pøevodu pozemku p","41","SCHVÁLENO","20.9.2010","9:25:44"
"24zmh_2010/h042","24","39. Pøevod spoluvlastnickıch podílù na pozemcí","42","SCHVÁLENO","20.9.2010","9:26:20"
"24zmh_2010/h043","24","40. Smluvní vztahy pro úèely realizace stavby:&quot;Au","43","SCHVÁLENO","20.9.2010","9:27:00"
"24zmh_2010/h044","24","41. Vypoøádání pozemkù pod komunikacemi, pro úèel","44","SCHVÁLENO","20.9.2010","9:27:41"
"24zmh_2010/h045","24","42. Pøedání dlouhodobého majetku pøíspìvkovım or","45","SCHVÁLENO","20.9.2010","9:28:22"
"24zmh_2010/h046","24","43. Pøedání dlouhodobého majetku pøíspìvkovım org","46","SCHVÁLENO","20.9.2010","9:29:05"
"24zmh_2010/h047","24","44. Odúètování nákladù na neidentifikovatelné s","47","SCHVÁLENO","20.9.2010","9:29:56"
"24zmh_2010/h048","24","45. Rozpis závazného ukazatele vıdajù schváleného","48","SCHVÁLENO","20.9.2010","9:31:19"
"24zmh_2010/h049","24","46. &quot;Rekonstrukce velkého rondelu na silnici I/11","49","SCHVÁLENO","20.9.2010","9:53:33"
"24zmh_2010/h050","24","47. Stavba 10032 &quot;Sesuv svahu v lokalitì vodoteèe","50","SCHVÁLENO","20.9.2010","9:54:16"
"24zmh_2010/h051","24","48. Zajištìní budoucího provozování kanalizace ve","51","SCHVÁLENO","20.9.2010","9:55:08"
"24zmh_2010/h052","24","49. Dohoda o naplnìní podmínek ádosti na odstran","52","SCHVÁLENO","20.9.2010","9:56:08"
"24zmh_2010/h053","24","50. Rozhodnutí o poøízení zmìny Územního plánu mì","53","SCHVÁLENO","20.9.2010","9:56:59"
"24zmh_2010/h054","24","51. Opatøení obecné povahy - Zmìna è.14 územního","54","SCHVÁLENO","20.9.2010","9:57:40"
"24zmh_2010/h055","24","52. ádost o odškodnìní úrazu Evy Kysucké","55","SCHVÁLENO","20.9.2010","9:58:19"
"24zmh_2010/h056","24","53. Informativní zpráva o skuteèném stavu podanıc","56","SCHVÁLENO","20.9.2010","9:59:15"
"24zmh_2010/h057","24","54. na zmìnu zøizovací listiny pøíspìvkové organi","57","SCHVÁLENO","20.9.2010","10:00:04"
"24zmh_2010/h058","24","55. KIC Odpady, a.s. - informace o konání øádné v","58","SCHVÁLENO","20.9.2010","10:00:49"
"24zmh_2010/h059","24","56. Depos Horní Suchá, a.s. - informace o konání","59","SCHVÁLENO","20.9.2010","10:01:30"
"24zmh_2010/h060","24","57. Informace z jednání øádné valné hromady ÈSAD","60","SCHVÁLENO","20.9.2010","10:02:07"
"24zmh_2010/h061","24","58. Pùjèka ze sociálního fondu","61","SCHVÁLENO","20.9.2010","10:02:44"
"24zmh_2010/h062","24","59. Písemnost adresovaná primátorovi mìsta - dopi","62","SCHVÁLENO","20.9.2010","10:03:35"
"24zmh_2010/h063","24","60. Písemnost adresovaná primátorovi mìsta - prim","63","SCHVÁLENO","20.9.2010","10:04:17"
"24zmh_2010/h064","24","61. Písemnost adresovaná primátorovi mìsta - star","64","SCHVÁLENO","20.9.2010","10:04:57"
"24zmh_2010/h065","24","62. Písemnost adresovaná primátorovi mìsta - VZSK","65","SCHVÁLENO","20.9.2010","10:05:42"
"24zmh_2010/h066","24","63. Poskytnutí vìcnıch darù z fondu primátora mìs","66","SCHVÁLENO","20.9.2010","10:06:34"
