"group:id","option","vote_event:id","voter:id"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Èerný Milan"
"ÈSSD","Pro","27zmh_2014/h001","Bc. Horòáková Michaela"
"ÈSSD","Pro","27zmh_2014/h001","Mgr. Choma Petr"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Jantoš Pavol"
"ÈSSD","Pro","27zmh_2014/h001","Mgr. Krokosz Zdislav"
"ÈSSD","Pro","27zmh_2014/h001","Kozák Vojtìch"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Martinek Jiøí"
"ÈSSD","Pro","27zmh_2014/h001","Mudra Radim"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Osmanczyk Zdenìk"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Petr Bøetislav"
"ÈSSD","Pro","27zmh_2014/h001","Polak Miroslav"
"ÈSSD","Pro","27zmh_2014/h001","Radová Eva"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Smrèek Petr"
"ÈSSD","Pro","27zmh_2014/h001","Svìtlíková Jarmila"
"ÈSSD","Pro","27zmh_2014/h001","Ing. Šlachta Karel"
"KSÈM","Omluven","27zmh_2014/h001","Dosedìlová Soòa"
"KSÈM","Pro","27zmh_2014/h001","Fukala Vladislav"
"KSÈM","Pro","27zmh_2014/h001","PaedDr. Halíková Milada"
"KSÈM","Pro","27zmh_2014/h001","Bc. Havlíèková Monika"
"KSÈM","Pro","27zmh_2014/h001","Ing. Heczko Eduard"
"KSÈM","Pro","27zmh_2014/h001","Hegyi Alice"
"KSÈM","Pro","27zmh_2014/h001","Jeziorski Jaroslav"
"KSÈM","Pro","27zmh_2014/h001","Kronenberg Miroslav"
"KSÈM","Pro","27zmh_2014/h001","Mgr. Kupczak Radek"
"KSÈM","Pro","27zmh_2014/h001","Bc. Pawlas Daniel"
"KSÈM","Pro","27zmh_2014/h001","Sachmerda Karel"
"KSÈM","Pro","27zmh_2014/h001","Ing. Šebesta Jiøí"
"ODS","Pro","27zmh_2014/h001","Ètvrtka Libor"
"ODS","Pro","27zmh_2014/h001","Ing. Foldyna Tomáš"
"ODS","Pro","27zmh_2014/h001","Klimša Dalibor"
"ODS","Pro","27zmh_2014/h001","Lukaštík Leoš"
"ODS","Pro","27zmh_2014/h001","MUDr. Schreiber Radomil"
"Hnutí p.H.","Pro","27zmh_2014/h001","Mgr. Vachtarèík Daniel"
"Nezaøazení","Pro","27zmh_2014/h001","Kožmínová Ivana"
"Hnutí p.H.","Pro","27zmh_2014/h001","Ing. Muras Bohuslav"
"Hnutí p.H.","Omluven","27zmh_2014/h001","Mgr. Šimek Rudolf"
"Nezaøazení","Nehlasoval","27zmh_2014/h001","MUDR. Heroková Jiøina"
"Nezaøazení","Pro","27zmh_2014/h001","MUDr. Hladík Milan"
"Nezaøazení","Pro","27zmh_2014/h001","Mgr. Macková Karin"
"TOP09","Pro","27zmh_2014/h001","MUDr. Hladíková Ivana"
"TOP09","Pro","27zmh_2014/h001","Ing. Merta Pavel"
"NEZ","Pro","27zmh_2014/h001","Mgr. Jekl Jiøí"
"NEZ","Pro","27zmh_2014/h001","RNDr. Mach Vladimír"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Èerný Milan"
"ÈSSD","Pro","27zmh_2014/h004","Bc. Horòáková Michaela"
"ÈSSD","Pro","27zmh_2014/h004","Mgr. Choma Petr"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Jantoš Pavol"
"ÈSSD","Pro","27zmh_2014/h004","Mgr. Krokosz Zdislav"
"ÈSSD","Pro","27zmh_2014/h004","Kozák Vojtìch"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Martinek Jiøí"
"ÈSSD","Pro","27zmh_2014/h004","Mudra Radim"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Osmanczyk Zdenìk"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Petr Bøetislav"
"ÈSSD","Pro","27zmh_2014/h004","Polak Miroslav"
"ÈSSD","Pro","27zmh_2014/h004","Radová Eva"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Smrèek Petr"
"ÈSSD","Pro","27zmh_2014/h004","Svìtlíková Jarmila"
"ÈSSD","Pro","27zmh_2014/h004","Ing. Šlachta Karel"
"KSÈM","Omluven","27zmh_2014/h004","Dosedìlová Soòa"
"KSÈM","Pro","27zmh_2014/h004","Fukala Vladislav"
"KSÈM","Pro","27zmh_2014/h004","PaedDr. Halíková Milada"
