id,classification_id,classification,name,
nk_party,party,Navrhující strana,Nezávislí kandidáti,
ods_party,party,Navrhující strana,Občanská demokratická strana,
cssd_party,party,Navrhující strana,Česká strana sociálně demokratická,
kdu-csl_party,party,Navrhující strana,Křesťan.a demokrat.unie-Českosl.strana lidová,
kscm_party,party,Navrhující strana,Komunistická strana Čech a Moravy,
bezpp_affiliation,affiliation,Stranická příslušnost,Bez politické příslušnosti,
cssd_affiliation,affiliation,Stranická příslušnost,Česká strana sociálně demokratická,
kscm_affiliation,affiliation,Stranická příslušnost,Komunistická strana Čech a Moravy,
902_list,list,Kandidátní listina,listina nezávislých kandidátů,
904_list,list,Kandidátní listina,listina nezávislých kandidátů,
53_list,list,Kandidátní listina,Občanská demokratická strana,
901_list,list,Kandidátní listina,listina nezávislých kandidátů,
7_list,list,Kandidátní listina,Česká strana sociálně demokratická,
1_list,list,Kandidátní listina,Křesťan.a demokrat.unie-Českosl.strana lidová,
47_list,list,Kandidátní listina,Komunistická strana Čech a Moravy,
903_list,list,Kandidátní listina,listina nezávislých kandidátů,
