"id","start_date","start_time","number","motion.title","result","legislative_session.id","legislative_session.number"
"zmb-z7-01/20141125-28-51913","25.11.2014","14:25:14",28," Bod è. 12 Návrh Volebního øádu pro volbu neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna a návrhu úpravy statutu vıborù Zastupitelstva mìsta Brna - název bodu ","Pøijato",2862,1
"zmb-z7-01/20141125-29-53719","25.11.2014","14:55:19",29," Bod è. 12 - návrh p. M. Holana Návrh Volebního øádu pro volbu neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna a návrhu úpravy statutu vıborù Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-30-53793","25.11.2014","14:56:33",30," Bod è. 12 Návrh Volebního øádu pro volbu neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna a návrhu úpravy statutu vıborù Zastupitelstva mìsta Brna ","Pøijato",2862,1
"zmb-z7-01/20141125-31-53950","25.11.2014","14:59:10",31," Bod è. 12 Návrh Volebního øádu pro volbu neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna a návrhu úpravy statutu vıborù Zastupitelstva mìsta Brna - Volební komise - Crha, Novotnı, Karasová, Dubová, Hofmannová ","Pøijato",2862,1
"zmb-z7-01/20141125-32-54403","25.11.2014","15:06:43",32," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - místopøedsedy Finanèního vıboru Zastupitelstva mìsta Brna - Ing. Robert Plaga, Ph.D. ","Pøijato",2862,1
"zmb-z7-01/20141125-33-55022","25.11.2014","15:17:02",33," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - èlena Finanèního vıboru Zastupitelstva mìsta Brna - Øíha, Drápalová, Kacer, Stanìk, Onderka, Viïa, Jan Hollan, Beran, Kašpaøíková ","Pøijato",2862,1
"zmb-z7-01/20141125-34-55530","25.11.2014","15:25:30",34," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - místopøedsedy Kontrolního vıboru Zastupitelstva mìsta Brna - MUDr. Josef Drbal ","Pøijato",2862,1
"zmb-z7-01/20141125-35-55974","25.11.2014","15:32:54",35," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - èlena Kontrolního vıboru Zastupitelstva mìsta Brna - Boreckı, Oliva, Hladík, Bednaøíková, Vlašín, Koláènı, Šástka ","Pøijato",2862,1
"zmb-z7-01/20141125-36-56367","25.11.2014","15:39:27",36," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - pøedsedy Vıboru pro národnostní menšiny Zastupitelstva mìsta Brna - Bc. Martin Freund ","Pøijato",2862,1
"zmb-z7-01/20141125-37-56647","25.11.2014","15:44:07",37," Bod è. 13 Volba neuvolnìnıch pøedsedù, místopøedsedù a èlenù vıborù Zastupitelstva mìsta Brna - místopøedsedy Vıboru pro národnostní menšiny Zastupitelstva mìsta Brna - Ivana Fajnorová ","Pøijato",2862,1
