"group:id","option","vote_event:id","voter:id"
"ČSSD","Nehlasoval","zmb-z7-01/20141125-10-32146","Miloslav Humpolíček"
"ČSSD","Nehlasoval","zmb-z7-01/20141125-10-32146","Jiří Ides"
"ČSSD","Zdržel se","zmb-z7-01/20141125-10-32146","Naděžda Křemečková"
"ČSSD","Ne","zmb-z7-01/20141125-10-32146","Jiří Novotný"
"ČSSD","Nehlasoval","zmb-z7-01/20141125-10-32146","Jiří Oliva"
"ČSSD","Ne","zmb-z7-01/20141125-10-32146","Roman Onderka"
"ČSSD","Nehlasoval","zmb-z7-01/20141125-10-32146","Oliver Pospíšil"
"ČSSD","Ne","zmb-z7-01/20141125-10-32146","Pavel Sázavský"
"ČSSD","Ne","zmb-z7-01/20141125-10-32146","Petr Šafařík"
"ČSSD","Ne","zmb-z7-01/20141125-10-32146","Vlastimil Žďárský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Vít Beran"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Antonín Crha"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Petr Hladík"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Stanislav Juránek"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Klára Liptáková"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Daniel Rychnovský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-10-32146","Jaroslav Suchý"
"KSČM","Zdržel se","zmb-z7-01/20141125-10-32146","Daniel Borecký"
"KSČM","Ano","zmb-z7-01/20141125-10-32146","Jiří Hráček"
"KSČM","Ano","zmb-z7-01/20141125-10-32146","Martin Říha"
"KSČM","Zdržel se","zmb-z7-01/20141125-10-32146","Helena Sýkorová"
"ODS","Zdržel se","zmb-z7-01/20141125-10-32146","Šárka Cechová"
"ODS","Nehlasoval","zmb-z7-01/20141125-10-32146","Robert Kerndl"
"ODS","Zdržel se","zmb-z7-01/20141125-10-32146","Petr Kratochvíl"
"ODS","Zdržel se","zmb-z7-01/20141125-10-32146","Libor Šťástka"
"ODS","Nehlasoval","zmb-z7-01/20141125-10-32146","František Vižďa"
"SZ","Ano","zmb-z7-01/20141125-10-32146","Martin Ander"
"SZ","Ano","zmb-z7-01/20141125-10-32146","Jana Drápalová"
"SZ","Ano","zmb-z7-01/20141125-10-32146","Ivana Fajnorová"
"SZ","Ano","zmb-z7-01/20141125-10-32146","Mojmír Vlašín"
"TOP 09","Ano","zmb-z7-01/20141125-10-32146","Josef Drbal"
"TOP 09","Ano","zmb-z7-01/20141125-10-32146","Zdeňka Dubová"
"TOP 09","Ano","zmb-z7-01/20141125-10-32146","Jaroslav Kacer"
"TOP 09","Ano","zmb-z7-01/20141125-10-32146","Pavel Urubek"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Martin Freund"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Karla Hofmannová"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Jan Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Matěj Hollan"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Hana Kašpaříková"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Tomáš Koláčný"
"ŽTB","Ano","zmb-z7-01/20141125-10-32146","Jiří Ulip"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Lubora Bednaříková"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Petr Bořecký"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Marek Janíček"
"ANO 2011","Ne","zmb-z7-01/20141125-11-32174","Karin Karasová"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Tomáš Kratochvíl"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Barbora Maťáková"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Richard Mrázek"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","René Novotný"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Robert Plaga"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Petra Rusňáková"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Martin Schwab"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Pavel Staněk"
"ANO 2011","Ano","zmb-z7-01/20141125-11-32174","Petr Vokřál"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Pavel Boleslav"
"ČSSD","Nehlasoval","zmb-z7-01/20141125-11-32174","Miloslav Humpolíček"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Jiří Ides"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Naděžda Křemečková"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Jiří Novotný"
"ČSSD","Ano","zmb-z7-01/20141125-11-32174","Jiří Oliva"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Roman Onderka"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Oliver Pospíšil"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Pavel Sázavský"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Petr Šafařík"
"ČSSD","Zdržel se","zmb-z7-01/20141125-11-32174","Vlastimil Žďárský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Vít Beran"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Antonín Crha"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Petr Hladík"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Stanislav Juránek"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Klára Liptáková"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Daniel Rychnovský"
"KDU-ČSL","Ano","zmb-z7-01/20141125-11-32174","Jaroslav Suchý"
"KSČM","Zdržel se","zmb-z7-01/20141125-11-32174","Daniel Borecký"
"KSČM","Zdržel se","zmb-z7-01/20141125-11-32174","Jiří Hráček"
"KSČM","Zdržel se","zmb-z7-01/20141125-11-32174","Martin Říha"
"KSČM","Zdržel se","zmb-z7-01/20141125-11-32174","Helena Sýkorová"
"ODS","Zdržel se","zmb-z7-01/20141125-11-32174","Šárka Cechová"
"ODS","Nehlasoval","zmb-z7-01/20141125-11-32174","Robert Kerndl"
