id,legislative_session:number,start_date,item:title,item:number,motion:title,
1001,1,2014-10-31,Složení slibu zastupitele,2,ZO Libá hlasuje aby ověřovateli ustanovujícího zasedání byli K. Halla a V. Votíková a zapisovatelem M. Vondrášek.,
1002,1,2014-10-31,Volba starosty,3,ZO Libá volí starostou obce Libá p. Miloše Vondráška,
1003,1,2014-10-31,Volba místostarosty,4,ZO Libá volí místostarostou obce Libá p. Karla Hallu,
1004,1,2014-10-31,Zřízení finančního výboru,5,"ZO Libá hlasuje o zřízení finančního výboru, jehož předsedou bude Petr Zumr a členy Zbyšek Balvín a Karel Kulhavý",
1005,1,2014-10-31,Zřízení kontrolního výboru,6,"ZO Libá hlasuje o zřízení kontrolního výboru, jehož předsedou bude Josef Kühn a členy Libor Vokurka a Pavel Běhal.",
1006,1,2014-10-31,Rozhodnutí o odměnách za výkon funkcí neuvolněných členů zastupitelstva,7,"Zastupitelstvo obce Libá schvaluje, že neuvolněným členům zastupitelstva nebude vyplácena žádná odměna za výkon mandátu člena zastupitelstva, funkce místostarosty bude vykonávána bez nároku na mzdu a funkce starosty bude uvolněná",
1007,1,2014-10-31,Nabídka koupě p.p. č. 285/3 k.ú. Libá o vel. 993 m2,8,"Zastupitelstvo obce Libá hlasuje o odkoupení p.p. č. 285/3 k.ú.Libá o velikosti 993 m2 za částku 200,-Kč/1 m2.",
1008,1,2014-10-31,Kostel sv. Kateřiny v Libé – žádost o Římskokatolické církve o fin. příspěvek,9,"Zastupitelstvo obce Libá hlasuje o schválení fin. příspěvku ve výši 50.000,-Kč určeným na rekonstrukci kostela svaté Kateřiny v Libé.",
1009,1,2014-10-31,různé,10,"Zastupitelstvo obce Libá hlasuje o zamítnutí finančních nároků spol. OLOVIUS s.r.o. ve výši 60.500,-Kč za zpracování dotační žádosti do Regionálního operačního programu Severozápad na akci Zámecká tůň pod hradem v Libé, jelikož žádost nebyla zpracována v souladu s cíli a aktivitami v příslušné oblasti podpory a byla opakovaně z důvodu pochybení spol. OLIVIUS s.r.o. neúspěšná.",
1010,1,2014-10-31,různé,10,"Zastupitelstvo obce Libá schvaluje pokácení vzrostlých dřevin v okolí dětského hřiště a hasičské zbrojnice v Libé s tím, že na jaře následujícího roku bude provedena náhradní alejová výsadba okrasných dřevin nižšího typu, pověřuje starostu obce zajištěním poptávkového řízení k zajištění nejvýhodnější nabídky a podpisem smlouvy s jeho vítězem.",
1011,1,2014-10-31,různé,10,"Zastupitelstvo obce Libá schvaluje pořízení projektové dokumentace po stavební povolení k dostavění garáží v technickém areálu obce Libá, pověřuje starostu obce zajištěním poptávkového řízení k zajištění nejvýhodnější nabídky a podpisem smlouvy s jeho vítězem.",
2001,2,2014-12-19,Volba ověřovatelů zápisu 1. zasedání ZO Libá,2,"ZO Libá hlasuje o schválení ověřovatelů zápisu 2. zasedání ZO Libá, K. Hally a Z. Balvína",
2002,2,2014-12-19,program,3,hlasování o programu,
2003,2,2014-12-19,Návrh rozpočtu na rok 2015,5,ZO Libá hlasuje o schválení návrhu rozpočtu obce Libá na rok 2015,
2004,2,2014-12-19,Rozpočtové opatření č. 3/2014,7,ZO Libá hlasuje o schválení rozpočtového opatření č. 3/2014,
