id,name,organization:party,organization:affiliation,organization:list,
2010-540331-1-7-8,Hulín Josef,cssd_party,bezpp_affiliation,7_list,
2010-540331-1-7-3,Janda Marek Ing.,cssd_party,cssd_affiliation,7_list,
2010-540331-1-901-3,Köhler Walter,nk_party,bezpp_affiliation,901_list,
2010-540331-1-901-7,Kouřil Jan,nk_party,bezpp_affiliation,901_list,
2010-540331-1-901-1,Marinov Antonín,nk_party,bezpp_affiliation,901_list,
2010-540331-1-901-2,Morong Pavel,nk_party,bezpp_affiliation,901_list,
2010-540331-1-901-6,Morong Štěpán,nk_party,bezpp_affiliation,901_list,
2010-540331-1-901-5,Svoboda Karel,nk_party,bezpp_affiliation,901_list,
2010-540331-1-901-4,Temňák Josef,nk_party,bezpp_affiliation,901_list,
