id,legislative_session:number,start_date,item:title,item:number,motion:title,
15002,15,2014-04-24,ZO schválilo,2,"Zastupitelstvo obce Rochlov projednalo a schvaluje účetní závěrku obce Rochlovsestavenou k rozvahovému dni 31.12, 2013 bez připomínek. Dále souhlasí sezněním protokolu o schválení účetní závěrky (příloha Č.4/VZ29",
15003,15,2014-04-24,ZO schválilo,3,"Zastupitelstvo obce Rochlov projednalo a schvaluje účetní závěrku PO Mateřskéškoly Rochlov sestavenou k rozvahovému dni 31.12. 2013 bez připomínek.Dálezastupitelstvo obce schvaluje převedení výsledku hospodařeni MS Rochlov v částce4253,54 Kč na rezervní fond. Dále souhlasí se zněním protokolu o schváleníuzávěrky příspěvkově organizace MS Rochlov (příloha Č.5/VZ29",
15004,15,2014-04-24,ZO schválilo,4,"Zastupitelstvo obce Rochlov schvaluje uzavření smluv na zřízení věcného břemeneslužebnostia to v rozsahu geometrického plánu č.214-13601/2012 schváleném KÚ PK,Plzeň-sever dne 6. 2. 2013, č.81/13 za jednorázovou náhradu 4.000,-Kč a v rozsahugeometrického plánu č.220-88/2013 schváleném KÚ PK, Plzeň-sever dne 25. 11. 2013,č.917/13 za jednorázovou náhradu 1.210,-Kč.",
15005,15,2014-04-24,ZO schválilo,5,Zastupitelstvo obce Rochlov schvaluje uzavřeni smlouvy o zajištění zpětného odběru avyužití odpadů z obalů s firmou EKOKOM a.s.,
15006,15,2014-04-24,ZO schválilo,6,"Zastupitelstvo obce Rochlov schvaluje přijetí dotace ve výši 100.00,-Kč z programustabilizace a obnovy venkova PK za účelem opravy oploceni pozemku MS Rochlov arevitalizaci zeleně.",
15007,15,2014-04-24,ZO schválilo,7,"Zastupitelstvo obce Rochlov schvaluje vytvoření pracovní příležitosti v rámci VPP aposkytnutí příspěvku 11.390,-Kč/měsíc pro obec Rochlov za jedno pracovní místo",
15008,15,2014-04-24,ZO schválilo,8,"Zastupitelstvo obce Rochlov schvaluje přijetí daru ve výši 4.000,-Kč od honebníhoslolečensťva KBEROCH",
15009,15,2014-04-24,ZO schválilo,9,Zastupitelstvo obce Rochlov souhlasí se záměrem odprodat pozemek č. 723/18 v k.ú.Rochlov a ukládá starostovi vyvěsit tento záměr na úředních deskách obce,
15010,15,2014-04-24,ZO schválilo,10,"Zastupitelstvo obce Rochlov schvaluje příspěvek na DČOV pro p. Václava ve výši20.000,-KČ.",
15011,15,2014-04-24,ZO schválilo,11,Zastupitelstvo obce Rochlov schvaluje pořízení změny ÚPD č.2 za účelemaktualizace a pročištění stávající ÚPD. Jako pořizovatele této změny požádáv termínu do 31. 5. 2014 MěÚ Nýřany - odbor územního plánování. Zastupitelstvoobce Rochlov jmenuje starostu obce jako pověřeného zastupitele v jednání ohledněÚPD Rochlov.,
15012,15,2014-04-24,ZO schválilo,12,"Zastupitelstvo obce Rochlov vyřazuje z evidence majetku stolní PC, které bylopořízeno pro pracoviště CZECHPOINT. Toto PC bude zlikvidováno jakovyřazený elektrospotřebič.",
15013,15,2014-04-24,ZO schválilo,13,Zastupitelstvo obce Rochlov schvaluje rozpočtové opatření č.1/2014 dle přílohyČ.7/VZ29.,
17001,17,2014-07-28,ZO schválilo,1,Zastupitelstvo obce Rochlov projednalo a schvaluje bezúplatný převod pozemků odStátního pozemkového úřadu a to pozemků č.399/15 a 399/14 v k. ú. Rochlov.,
17002,17,2014-07-28,ZO schválilo,2,"Zastupitelstvo obce Rochlov revokuje usnesení č. 282/14 ze dne 26.6.2014 a schvalujeposkytnutí daru ve výši 15.000,-Kč Stodské nemocnici, a.s. pro gynekologicko-porodnickéoddělení na nákup 3D ultrazvuku.",
17003,17,2014-07-28,ZO schválilo,3,Zastupitelstvo obce Rochlov ruší fond «a DČOVa zbyléfinančníprostředky převedena účet zřízený u ČSOB.,
17004,17,2014-07-28,ZO schválilo,4,"Zastupitelstvo obce Rochlov projedná na pracovní schůzce zastupitelů dne 4.8.2014přípravu hlukové vyhlášky, která by časově omezovala některé vykonávané, hlukem rušícíčinnosti. O výsledku bude informovat starosta na dalším VZ.",
17005,17,2014-07-28,ZO ukládá,5,"Zastupitelstvo obce Rochlov projedná na pracovní schůzce zastupitelů dne 4.8.2014přípravu hlukové vyhlášky, která by časově omezovala některé vykonávané, hlukem rušícíčinnosti. O výsledku bude informovat starosta na dalším VZ.",
18001,18,2014-09-18,ZO schválilo,1,"Zastupitelstvo obce Rochlov schvaluje Výzvu občanům k omezení hluku. Dálepověřuje starostu, aby tuto výzvu zveřejnit formou letáků všem občanům doschránky a vyhlásil v místním rozhlase a formou SMS",
18002,18,2014-09-18,ZO schválilo,2,Zastupitelstvo obce Rochlov revokuje usnesení č. 208/,
18003,18,2014-09-18,ZO schválilo,3,Zastupitelstvo obce Rochlov schvaluje umístěni reklamního poutače bez lavičekna návsi na pravou stranu od památníku,
18004,18,2014-09-18,ZO schválilo,4,"Zastupitelstvo obce Rochlov schvaluje poskytnutí příspěvku na DČOVpro paníOldřišku Čejkovou ve výši 20000,-Kč",
18005,18,2014-09-18,ZO schválilo,5,"Zastupitelstvo obce Rochlov schvaluje odkup nemovitosti v k.ú. Rochlov stp.č. 22/20- 122 m' za cenu 50000,-Kč + poplatků s tím souvisejících",
