id,name,organization:party,organization:affiliation,organization:list,
2014-541443-1-901-2,Goubej Jiří,nk_party,bezpp_affiliation,901_list,
2014-541443-1-166-1,Jurková Helena Mgr.,stan_party,bezpp_affiliation,166_list,
2014-541443-1-166-2,Kopča Luka,stan_party,bezpp_affiliation,166_list,
2014-541443-1-166-5,Kopča Petr,stan_party,bezpp_affiliation,166_list,
2014-541443-1-901-1,Kuchynka Vladimír - Bohuslav,nk_party,bezpp_affiliation,901_list,
2014-541443-1-166-6,Plášil Jan,stan_party,bezpp_affiliation,166_list,
2014-541443-1-166-4,Veselá Martina Bc.,stan_party,bezpp_affiliation,166_list,
