vote_event_id,voter_id,option,group_id,
1001,2014-555533-1-901-6,yes,nk_party,
1001,2014-555533-1-901-1,yes,nk_party,
1001,2014-555533-1-901-3,yes,nk_party,
1001,2014-555533-1-902-3,yes,nk_party,
1001,2014-555533-1-901-2,yes,nk_party,
1001,2014-555533-1-901-4,yes,nk_party,
1001,2014-555533-1-902-2,yes,nk_party,
1002,2014-555533-1-901-6,yes,nk_party,
1002,2014-555533-1-901-1,yes,nk_party,
1002,2014-555533-1-901-3,yes,nk_party,
1002,2014-555533-1-902-3,yes,nk_party,
1002,2014-555533-1-901-2,yes,nk_party,
1002,2014-555533-1-901-4,yes,nk_party,
1002,2014-555533-1-902-2,yes,nk_party,
1003,2014-555533-1-901-6,yes,nk_party,
1003,2014-555533-1-901-1,yes,nk_party,
1003,2014-555533-1-901-3,yes,nk_party,
1003,2014-555533-1-902-3,yes,nk_party,
1003,2014-555533-1-901-2,yes,nk_party,
1003,2014-555533-1-901-4,yes,nk_party,
1003,2014-555533-1-902-2,yes,nk_party,
1004,2014-555533-1-901-6,yes,nk_party,
1004,2014-555533-1-901-1,yes,nk_party,
1004,2014-555533-1-901-3,yes,nk_party,
1004,2014-555533-1-902-3,yes,nk_party,
1004,2014-555533-1-901-2,yes,nk_party,
1004,2014-555533-1-901-4,yes,nk_party,
1004,2014-555533-1-902-2,yes,nk_party,
1005,2014-555533-1-901-6,yes,nk_party,
1005,2014-555533-1-901-1,yes,nk_party,
1005,2014-555533-1-901-3,yes,nk_party,
1005,2014-555533-1-902-3,yes,nk_party,
1005,2014-555533-1-901-2,yes,nk_party,
1005,2014-555533-1-901-4,yes,nk_party,
1005,2014-555533-1-902-2,yes,nk_party,
1006,2014-555533-1-901-6,yes,nk_party,
1006,2014-555533-1-901-1,yes,nk_party,
1006,2014-555533-1-901-3,yes,nk_party,
1006,2014-555533-1-902-3,yes,nk_party,
1006,2014-555533-1-901-2,yes,nk_party,
1006,2014-555533-1-901-4,yes,nk_party,
1006,2014-555533-1-902-2,yes,nk_party,
1007,2014-555533-1-901-6,yes,nk_party,
1007,2014-555533-1-901-1,yes,nk_party,
1007,2014-555533-1-901-3,yes,nk_party,
1007,2014-555533-1-902-3,yes,nk_party,
1007,2014-555533-1-901-2,yes,nk_party,
1007,2014-555533-1-901-4,yes,nk_party,
1007,2014-555533-1-902-2,yes,nk_party,
1008,2014-555533-1-901-6,yes,nk_party,
1008,2014-555533-1-901-1,yes,nk_party,
1008,2014-555533-1-901-3,yes,nk_party,
1008,2014-555533-1-902-3,yes,nk_party,
1008,2014-555533-1-901-2,yes,nk_party,
1008,2014-555533-1-901-4,yes,nk_party,
1008,2014-555533-1-902-2,yes,nk_party,
1009,2014-555533-1-901-6,yes,nk_party,
1009,2014-555533-1-901-1,yes,nk_party,
1009,2014-555533-1-901-3,yes,nk_party,
1009,2014-555533-1-902-3,yes,nk_party,
1009,2014-555533-1-901-2,yes,nk_party,
1009,2014-555533-1-901-4,yes,nk_party,
1009,2014-555533-1-902-2,yes,nk_party,
1010,2014-555533-1-901-6,yes,nk_party,
1010,2014-555533-1-901-1,yes,nk_party,
1010,2014-555533-1-901-3,yes,nk_party,
1010,2014-555533-1-902-3,yes,nk_party,
1010,2014-555533-1-901-2,yes,nk_party,
1010,2014-555533-1-901-4,yes,nk_party,
1010,2014-555533-1-902-2,yes,nk_party,
1011,2014-555533-1-901-6,yes,nk_party,
1011,2014-555533-1-901-1,yes,nk_party,
1011,2014-555533-1-901-3,yes,nk_party,
1011,2014-555533-1-902-3,yes,nk_party,
1011,2014-555533-1-901-2,yes,nk_party,
1011,2014-555533-1-901-4,yes,nk_party,
1011,2014-555533-1-902-2,yes,nk_party,
1012,2014-555533-1-901-6,yes,nk_party,
1012,2014-555533-1-901-1,yes,nk_party,
1012,2014-555533-1-901-3,yes,nk_party,
1012,2014-555533-1-902-3,yes,nk_party,
1012,2014-555533-1-901-2,yes,nk_party,
1012,2014-555533-1-901-4,yes,nk_party,
1012,2014-555533-1-902-2,yes,nk_party,
1013,2014-555533-1-901-6,yes,nk_party,
1013,2014-555533-1-901-1,yes,nk_party,
1013,2014-555533-1-901-3,yes,nk_party,
1013,2014-555533-1-902-3,yes,nk_party,
1013,2014-555533-1-901-2,yes,nk_party,
1013,2014-555533-1-901-4,yes,nk_party,
1013,2014-555533-1-902-2,yes,nk_party,
1014,2014-555533-1-901-6,yes,nk_party,
1014,2014-555533-1-901-1,yes,nk_party,
1014,2014-555533-1-901-3,yes,nk_party,
1014,2014-555533-1-902-3,yes,nk_party,
1014,2014-555533-1-901-2,yes,nk_party,
1014,2014-555533-1-901-4,yes,nk_party,
1014,2014-555533-1-902-2,yes,nk_party,
1015,2014-555533-1-901-6,yes,nk_party,
1015,2014-555533-1-901-1,yes,nk_party,
1015,2014-555533-1-901-3,yes,nk_party,
1015,2014-555533-1-902-3,yes,nk_party,
1015,2014-555533-1-901-2,yes,nk_party,
