"group:id","option","vote_event:id","voter:id"
"ČSSD","NEHLASOVAL","4518","Adam Miroslav, MUDr."
"KDU-ČSL","NEHLASOVAL","4518","Bárta Jiří, MUDr."
"KSČM","NEHLASOVAL","4518","Brožová Eliška, Ing., CSc."
"Nez. - pol. hn.","NEHLASOVAL","4518","Buček Petr, MUDr."
"ODS","NEHLASOVAL","4518","Chlopčík Roman"
"ČSSD","NEHLASOVAL","4518","Chýlek Jaroslav, Ing."
"ČSSD","NEHLASOVAL","4518","Crha Radomír"
"KSČM","NEHLASOVAL","4518","Dokoupil Miroslav, JUDr."
"Nez. město","NEHLASOVAL","4518","Dudek Radim, MUDr."
"KDU-ČSL","NEHLASOVAL","4518","Hartmann Petr, Ing."
"KSČM","NEHLASOVAL","4518","Holý Pavel"
"ODS","NEHLASOVAL","4518","Hrabec Dalibor, Bc."
"ODS","NEHLASOVAL","4518","Janásek Jan"
"ODS","NEHLASOVAL","4518","Káš Jan, Ing."
"KDU-ČSL","NEHLASOVAL","4518","Kleinwachter Josef"
"ODS","NEHLASOVAL","4518","Konečná Martina, Ing."
"ODS","NEHLASOVAL","4518","Konůpka Petr, Ing."
"Nez. - pol. hn.","NEHLASOVAL","4518","Kozák Petr, MUDr."
"US","NEHLASOVAL","4518","Krulikovský Jan, Mgr."
"ODS","NEHLASOVAL","4518","Kučík Rafael, Ing."
"KSČM","NEHLASOVAL","4518","Marek Eduard"
"KSČM","NEHLASOVAL","4518","Pavlík Ivo"
"KDU-ČSL","ZDRŽEL SE","4518","Pavlosek Vladimír, Ing."
"KSČM","NEHLASOVAL","4518","Pospíšil Oldřich, Ing."
"ČSSD","NEHLASOVAL","4518","Rafaj Petr, Ing."
"KSČM","NEHLASOVAL","4518","Recman Svatomír, RSDr., Ing."
"ČSSD","NEHLASOVAL","4518","Richtrová Eva, Ing."
"ODS","NEHLASOVAL","4518","Říman Martin, Ing."
"ČSSD","PRO","4518","Roháč Jan, Ing., CSc."
"US","NEHLASOVAL","4518","Rumian Petr, Mgr."
"ODS","NEHLASOVAL","4518","Sehoř Karel, Ing."
"ČSSD","PRO","4518","Skotnica Petr"
"US","NEHLASOVAL","4518","Šostý Zbyněk, Mgr."
"Nez. - pol. hn.","NEHLASOVAL","4518","Šrubař Pavel, MUDr."
"ODA","NEHLASOVAL","4518","Stolař Zdeněk, PhDr."
"ČSSD","NEHLASOVAL","4518","Vašek Ladislav, JUDr."
"ČSSD","NEHLASOVAL","4518","Velčovský Jiří"
