"classification","id"
"Navrhující strana","ÄŒSSD"
"Navrhující strana","KDU-ÄŒSL"
"Navrhující strana","KSÄŒM"
"Navrhující strana","Nez. - pol. hn."
"Navrhující strana","ODS"
"Navrhující strana","Nez. mÄ›sto"
"Navrhující strana","US"
"Navrhující strana","ODA"
