id,legislative_session:number,start_date,item:title,item:number,motion:title,
7003,7,2011-07-11,žádost o vyjádření ke změně středního zdroje znečišťování ovzduší - rekonstrukce zimoviště skotu na farmě Vlkanov,1,Zastupitelstvo ukládá starostovi zaslat p. ing. Křivkovi žádost o doplnění a vysvětlení rozdílů týkajících se předpokládaného počtu skotu.,
7004,7,2011-07-11,projednání návrhu smlouvy o uspořádání hudební produkce s kapelou Domažličanka na oslavy výročí založení obce,2,Obecní zastupitelstvo schvaluje smlouvu o hudební produkci mezi dechovou a taneční hudbou Domažličanka a Obcí Vlkanov,
7005,7,2011-07-11,projednání programu a organizačních záležitostí týkajících se konání oslav k výročí založení obce,3,"Zastupitelstvo obce schvaluje navržený program výročí založení obce a zároveň ukládá starostovi a místostarostovi tyto úkoly: 1) zajistit včas podium na vystoupení hudebních skupin 2) zajistit včas stany a sezení pro návštěvníky; rovněž toalety 3) včas zajistit propagaci v regionálním tisku, včetně vydání brožury o naší obci 4) zajistit poukázky pro děti na pouťové atrakce",
7006,7,2011-07-11,návrh rozpočtového opatření č. 5,4,Obecní zastupitelstvo schvaluje rozpočtové opatření č.5,
7007,7,2011-07-11,návrh místostarostky p. Jacákové na obložení hráze rybníka kameny,5,"Obecní zastupitelstvo schvaluje návrh místostarostky obložit hráz rybníka kamenem za předpokládaných finančních nákladů 30-40000,- Kč.",
8001,8,2011-08-12,Určení ověřovatelů zápisu a zapisovatele,0,Zastupitelstvo obce volí ověřovatele zápisu a usnesení pí. Ivanu Jacákovou a pana Ladislava Jacáka.,
8002,8,2011-08-12,Schválení programu,0,Zastupitelstvo obce schvaluje program jednání 9. zasedání zastupitelstva obce Vlkanov v navrženém znění.,
8003,8,2011-08-12,žádost o vyjádření ke změně středního zdroje znečišťování ovzduší - rekonstrukce zimoviště skotu na farmě Vlkanov,1,"Zastupitelstvo obce schvaluje usnesení 9/3: K investičnímu záměru firmy POZEP s.r.o. Poběžovice provést rekonstrukci zimoviště na farmě Vlkanov pro skot, na parcele č. 92, kde bude kapacita 395 ks mladých býků, telat a jalovic, není námitek, za předpokladu, že budou dodrženy platné hygienické normy a při provozování farmy Vlkanov budou respektovány zásady nitrátové směrnice.",
8004,8,2011-08-12,návrh rozpočtového opatření č. 6,2,Zastupitelstvo obce schvaluje návrh rozpočtového opatření č. 6,
9001,9,2011-09-22,Určení ověřovatelů zápisu a zapisovatele,0,Zastupitelstvo obce volí ověřovatele zápisu a usneseníp. Zdeňka Doktora a pana Josefa Sokola,
9002,9,2011-09-22,Schválení programu,0,Zastupitelstvo obce schvaluje program jednání 10. zasedání zastupitelstva obce Vlkanov v navrženém znění,
9003,9,2011-09-22,výběrové řízení na zakázku 'Územní plán Vlkanov',1,"Zastupitelstvo obce schvaluje v rámci výběrového řízení na zakázku 'Uzemníplán Vlkanov' nabídku firmy ing. arch. Petr Sladký Praha s nejvýhodnější nabídkou na vytvoření nového územního plánu a to Kč 165000,- . Firma Projekční kancelář ing. arch. Petr Sladký, Praha, není plátcem DPH.",
