code,name,
"vroutek_CZ0424_566934_2014","Vroutek (okres Louny), 2014-2018",
"kosmonosy_CZ0207_570826_2010","Kosmonosy (okres Mladá Boleslav), 2010-2014",
"vyrava_CZ0521_571105_2010","Výrava (okres Hradec Králové), 2010-2014",
"vyrava_CZ0521_571105_2014","Výrava (okres Hradec Králové), 2014-2018",
"vysoka_nad_labem_CZ0521_571113_2010","Vysoká nad Labem (okres Hradec Králové), 2010-2014",
"vysoka_nad_labem_CZ0521_571113_2014","Vysoká nad Labem (okres Hradec Králové), 2014-2018",
"libkov_CZ0531_571725_2014","Libkov (okres Chrudim), 2014-2018",
"holin_CZ0522_572900_2010","Holín (okres Jičín), 2010-2014",
"holin_CZ0522_572900_2014","Holín (okres Jičín), 2014-2018",
"cepi_CZ0532_574864_2010","Čepí (okres Pardubice), 2010-2014",
"cepi_CZ0532_574864_2014","Čepí (okres Pardubice), 2014-2018",
"mikulovice_CZ0532_575372_2010","Mikulovice (okres Pardubice), 2010-2014",
"mikulovice_CZ0532_575372_2014","Mikulovice (okres Pardubice), 2014-2018",
"opatovice_nad_labem_CZ0532_575429_2014","Opatovice nad Labem (okres Pardubice), 2014-2018",
"opocno_CZ0524_576590_2014","Opočno (okres Rychnov nad Kněžnou), 2014-2018",
"libstat_CZ0514_577294_2014","Libštát (okres Semily), 2014-2018",
"radimer_CZ0533_578657_2014","Radiměř (okres Svitavy), 2014-2018",
"kohoutov_CZ0525_579408_2010","Kohoutov (okres Trutnov), 2010-2014",
"cerna_hora_CZ0641_581496_2010","Černá Hora (okres Blansko), 2010-2014",
"cerna_hora_CZ0641_581496_2014","Černá Hora (okres Blansko), 2014-2018",
"jinacovice_CZ0643_583171_2014","Jinačovice (okres Brno-venkov), 2014-2018",
"strelice_CZ0643_583910_2014","Střelice (okres Brno-venkov), 2014-2018",
"moravska_nova_ves_CZ0644_584665_2010","Moravská Nová Ves (okres Břeclav), 2010-2014",
"moravska_nova_ves_CZ0644_584665_2014","Moravská Nová Ves (okres Břeclav), 2014-2018",
"morkovice-slizany_CZ0721_588768_2010","Morkovice-Slížany (okres Kroměříž), 2010-2014",
"morkovice-slizany_CZ0721_588768_2014","Morkovice-Slížany (okres Kroměříž), 2014-2018",
"vazany_nad_litavou_CZ0646_593664_2014","Vážany nad Litavou (okres Vyškov), 2014-2018",
"tesetice_CZ0647_594946_2010","Těšetice (okres Znojmo), 2010-2014",
"tesetice_CZ0647_594946_2014","Těšetice (okres Znojmo), 2014-2018",
"horni_benesov_CZ0801_597350_2010","Horní Benešov (okres Bruntál), 2010-2014",
"jindrichov_CZ0801_597449_2014","Jindřichov (okres Bruntál), 2014-2018",
"popovicky_CZ0209_599221_2010","Popovičky (okres Praha-východ), 2010-2014",
"popovicky_CZ0209_599221_2014","Popovičky (okres Praha-východ), 2014-2018",
"karlik_CZ020A_599727_2010","Karlík (okres Praha-západ), 2010-2014",
"karlik_CZ020A_599727_2014","Karlík (okres Praha-západ), 2014-2018",
