"classification","id"
"Navrhující strana","ÄŒSSD"
"Navrhující strana","VV"
"Navrhující strana","KDU-ÄŒSL"
"Navrhující strana","TOP 09"
"Navrhující strana","KSÄŒM"
"Navrhující strana","ODS"
"Navrhující strana","NEZ"
"Navrhující strana","NES"
"Navrhující strana","BPP"
"Navrhující strana","BPK-1"
"Navrhující strana","BPK-2"
"Navrhující strana","KRK"
