id,name,group:id
4017,Branko Doleček,US-DEU
4112,"Doc.Ing. Zdeněk Trojan, CSc",ČSSD
4122,Hana Žižková,ODS
4027,Ing. Filip Dvořák,ODS
4071,Ing. František Laudát,ODS
4080,Ing. František Stádník,ODS
4111,Ing. Jan Tomčík,ČSSD
4018,Ing. Jiří Dolejš,KSČM
4043,Ing. Jiří Kaňák,ODS
3713,Ing. Jiří Kraft,ČSSD
4061,Ing. Jiří Paroubek,ČSSD
4013,Ing. Josef Dobrý,ČSSD
4058,Ing. Květoslava Kořínková,ČSSD
4057,Ing. Libor Klug,ODS
4038,Ing. Martin Hejl,ODS
4072,Ing. Miloš Máša,ČSSD
4015,Ing. Petr Bratský,ODS
4063,Ing. Petr Krejčí,ODS
4092,Ing. Petr Šafránek,DEU
4098,Ing. Petr Švec,ODS
4070,Ing. Tomáš Kubík,US-DEU
3440,Ing. Tomáš Mikeska,ODS
4079,Ing. Viktor Pázler,KSČM
4036,Ing. Vladimír Göringer,US-DEU
2923,Ing. Zdeněk Kovářík,ODS
4050,Ing.arch. Jan Kasl,ODS
3371,Jiří Hladík,ODS
4062,Josef Pavlata,ODS
4039,JUDr. František Hoffman,KSČM
4041,"JUDr. Petr Hulinský, Ph.D.",ČSSD
4082,JUDr. Petr Pokorný,ČSSD
4014,JUDr. Rudolf Blažek,ODS
4090,Martin Stránský,US-DEU
4019,Milan Dratnal,US-DEU
4044,MUDr. David Karásek,US-DEU
4035,MUDr. Luděk Fiala,ODS
4040,MUDr. Marián Hošek,KDU-ČSL
4042,MUDr. Michael Hvížďala,US-DEU
4037,MUDr. Petr Hanuš,ODS
4089,MUDr. Vladimír Říha,KDU-ČSL
4056,Otto Kechner,ČSSD
4121,Pavel Žďárský,ODS
4093,Petr Šimůnek,KSČM
4115,Petr Zajíček,KSČM
4095,PhDr. Karel Šplíchal,ČSSD
4084,"PhDr. Miloslav Ransdorf, CSc",KSČM
4097,Radovan Šteiner,ODS
4060,RNDr. Igor Němec,ODS
4002,RNDr. Ivana Bursíková,US-DEU
4059,RNDr. Jan Koukal,ODS
4114,"RNDr. Jiří Witzany, Ph.D.",US-DEU
4016,RNDr. Martin Bursík,KDU-ČSL
4083,RNDr. Milan Press,US-DEU
3920,RNDr. Miroslav Prokeš,KSČM
4034,RSDr. Libuše Eliášová,KSČM
4081,RSDr. Zdeněk Pernes,KSČM
4094,Rudolf Školník,ODS
4091,Tomáš Szennai,ODA
4113,Tomáš Vrbík,US-DEU
