"classification","id"
"Navrhující strana","ÄŒSSD"
"Navrhující strana","KDU-ÄŒSL"
"Navrhující strana","KSÄŒM"
"Navrhující strana","SdruÅ¾enÃ­ nez."
"Navrhující strana","ODS"
"Navrhující strana","SNK"
