"classification","id"
"Navrhující strana","ÄŒSSD"
"Navrhující strana","KSÄŒM"
"Navrhující strana","SdruÅ¾enÃ­"
"Navrhující strana","NEZ"
"Navrhující strana","ODS+OFM"
"Navrhující strana","KDU-ÄŒSL"
