vote_event_id,voter_id,option,group_id,
1001,2010-565067-1-902-1,yes,nk_party,
1001,2010-565067-1-904-3,yes,nk_party,
1001,2010-565067-1-47-2,absent,kscm_party,
1001,2010-565067-1-901-5,yes,nk_party,
1001,2010-565067-1-905-1,absent,nk_party,
1001,2010-565067-1-901-3,abstain,nk_party,
1001,2010-565067-1-901-2,yes,nk_party,
1001,2010-565067-1-905-2,yes,nk_party,
1001,2010-565067-1-47-1,absent,kscm_party,
1001,2010-565067-1-901-1,yes,nk_party,
1001,2010-565067-1-901-4,abstain,nk_party,
1002,2010-565067-1-902-1,yes,nk_party,
1002,2010-565067-1-904-3,yes,nk_party,
1002,2010-565067-1-47-2,absent,kscm_party,
1002,2010-565067-1-901-5,yes,nk_party,
1002,2010-565067-1-905-1,absent,nk_party,
1002,2010-565067-1-901-3,abstain,nk_party,
1002,2010-565067-1-901-2,yes,nk_party,
1002,2010-565067-1-905-2,yes,nk_party,
1002,2010-565067-1-47-1,absent,kscm_party,
1002,2010-565067-1-901-1,yes,nk_party,
1002,2010-565067-1-901-4,abstain,nk_party,
1003,2010-565067-1-902-1,yes,nk_party,
1003,2010-565067-1-904-3,yes,nk_party,
1003,2010-565067-1-47-2,absent,kscm_party,
1003,2010-565067-1-901-5,yes,nk_party,
1003,2010-565067-1-905-1,absent,nk_party,
1003,2010-565067-1-901-3,abstain,nk_party,
1003,2010-565067-1-901-2,yes,nk_party,
1003,2010-565067-1-905-2,yes,nk_party,
1003,2010-565067-1-47-1,absent,kscm_party,
1003,2010-565067-1-901-1,yes,nk_party,
1003,2010-565067-1-901-4,abstain,nk_party,
1004,2010-565067-1-902-1,yes,nk_party,
1004,2010-565067-1-904-3,yes,nk_party,
1004,2010-565067-1-47-2,absent,kscm_party,
1004,2010-565067-1-901-5,yes,nk_party,
1004,2010-565067-1-905-1,absent,nk_party,
1004,2010-565067-1-901-3,abstain,nk_party,
1004,2010-565067-1-901-2,yes,nk_party,
1004,2010-565067-1-905-2,yes,nk_party,
1004,2010-565067-1-47-1,absent,kscm_party,
1004,2010-565067-1-901-1,yes,nk_party,
1004,2010-565067-1-901-4,abstain,nk_party,
1005,2010-565067-1-902-1,yes,nk_party,
1005,2010-565067-1-904-3,yes,nk_party,
1005,2010-565067-1-47-2,absent,kscm_party,
1005,2010-565067-1-901-5,yes,nk_party,
1005,2010-565067-1-905-1,absent,nk_party,
1005,2010-565067-1-901-3,abstain,nk_party,
1005,2010-565067-1-901-2,yes,nk_party,
1005,2010-565067-1-905-2,yes,nk_party,
1005,2010-565067-1-47-1,absent,kscm_party,
1005,2010-565067-1-901-1,yes,nk_party,
1005,2010-565067-1-901-4,abstain,nk_party,
1006,2010-565067-1-902-1,yes,nk_party,
1006,2010-565067-1-904-3,yes,nk_party,
1006,2010-565067-1-47-2,absent,kscm_party,
1006,2010-565067-1-901-5,yes,nk_party,
1006,2010-565067-1-905-1,absent,nk_party,
1006,2010-565067-1-901-3,abstain,nk_party,
1006,2010-565067-1-901-2,yes,nk_party,
1006,2010-565067-1-905-2,yes,nk_party,
1006,2010-565067-1-47-1,absent,kscm_party,
1006,2010-565067-1-901-1,yes,nk_party,
1006,2010-565067-1-901-4,abstain,nk_party,
1007,2010-565067-1-902-1,yes,nk_party,
1007,2010-565067-1-904-3,yes,nk_party,
1007,2010-565067-1-47-2,absent,kscm_party,
1007,2010-565067-1-901-5,yes,nk_party,
1007,2010-565067-1-905-1,absent,nk_party,
1007,2010-565067-1-901-3,abstain,nk_party,
1007,2010-565067-1-901-2,yes,nk_party,
1007,2010-565067-1-905-2,yes,nk_party,
1007,2010-565067-1-47-1,absent,kscm_party,
1007,2010-565067-1-901-1,yes,nk_party,
1007,2010-565067-1-901-4,abstain,nk_party,
2001,2010-565067-1-902-1,yes,nk_party,
2001,2010-565067-1-904-3,yes,nk_party,
2001,2010-565067-1-47-2,absent,kscm_party,
2001,2010-565067-1-901-5,absent,nk_party,
2001,2010-565067-1-905-1,yes,nk_party,
2001,2010-565067-1-901-3,abstain,nk_party,
2001,2010-565067-1-901-2,yes,nk_party,
2001,2010-565067-1-905-2,yes,nk_party,
2001,2010-565067-1-47-1,absent,kscm_party,
2001,2010-565067-1-901-1,yes,nk_party,
2001,2010-565067-1-901-4,abstain,nk_party,
2002,2010-565067-1-902-1,yes,nk_party,
2002,2010-565067-1-904-3,yes,nk_party,
2002,2010-565067-1-47-2,absent,kscm_party,
2002,2010-565067-1-901-5,absent,nk_party,
2002,2010-565067-1-905-1,yes,nk_party,
2002,2010-565067-1-901-3,abstain,nk_party,
2002,2010-565067-1-901-2,yes,nk_party,
2002,2010-565067-1-905-2,yes,nk_party,
2002,2010-565067-1-47-1,absent,kscm_party,
2002,2010-565067-1-901-1,yes,nk_party,
2002,2010-565067-1-901-4,abstain,nk_party,
