id,name,organization:party,organization:affiliation,organization:list,
2010-594946-1-1-2,Krejčí Miroslav Ing.,kdu-csl_party,bezpp_affiliation,1_list,
2010-594946-1-1-1,Nekula Zdeněk Ing.,kdu-csl_party,kdu-csl_affiliation,1_list,
2010-594946-1-901-1,Ryšavá Jana,nk_party,bezpp_affiliation,901_list,
2010-594946-1-389-1,Valentová Iva Ing.,ods_party,bezpp_affiliation,389_list,
2010-594946-1-1-5,Večeřa Ladislav,kdu-csl_party,bezpp_affiliation,1_list,
2010-594946-1-1-4,Worbis Pavel,kdu-csl_party,kdu-csl_affiliation,1_list,
2010-594946-1-1-3,Žižka Jindřich,kdu-csl_party,kdu-csl_affiliation,1_list,
