id,legislative_session:number,start_date,item:title,item:number,motion:title,
35009,35,2014-08-25,Různé,5,Holeček Tomáš Útušice žádá o souhlas ke stavbě rodinného domu včetně inženýrských sítí – jejich vedení přes pozemek parc.č. 47 (příp. 48) Útušice.,
35010,35,2014-08-25,Různé,5,"Ing. Nohovec – YSAT Plzeň s.r.o. předložil návrh havarijního pojištění vozidel obce u Hasičské vzájemné pojišťovny a.s. Přítomní po projednání navrhují zahrnout do smlouvy pouze celkové havarijní pojištění pro AVIA FURGON, Multicar a AVIA A30K : roční pojistné Kč 2 590,-, spoluúčast 5%, min. 5 000,- Kč.",
36001,36,2014-09-24,Zahájení,1,program,
36002,36,2014-09-24,Zahájení,1,"ověřovatelé,zapisovatel",
36003,36,2014-09-24,Vodovod Útušice,3,"výše vodného - dvousložkovou sazbu: Kč 500,- až 550,- za odběrné místo/rok paušálu a Kč 30,- až 32,-m3 skutečně odebrané vody.",
36004,36,2014-09-24,Vodovod Útušice,3,"nabídka na zajištění autorského dozoru od Ing. Václava Macha – 156 500,- Kč.",
36005,36,2014-09-24,Objekt čp. 61 Útušice,4,dodatek smlouvy se společností L&B Stav s.r.o,
36006,36,2014-09-24,Rozpočtové opatření č. 5/2014,4,Rozpočtové opatření č. 5/2014,
36007,36,2014-09-24,Různé,6,"komín hostinec:vyvložkování v nerezu – nabídka p.Tureček Radek, Dolní Lukavice Kč 33 856,- bez DPH",
36008,36,2014-09-24,Různé,6,"Pan Roštík Štěnovice má zájem o pronájem sálu na florbal – žádá o snížení hodinové sazby–přítomní navrhují Kč 200,-.",
36009,36,2014-09-24,Různé,6,koupě dvou vysílaček v ceně do 18 tisíc Kč.,
36010,36,2014-09-24,Různé,6,"Uživatelé chaty E 59 Útušice a sdružení Sk8 slalom Plzeň žádají o vydání klíče od závory– přítomní navrhují těmto žádostem vyhovět za podmínky, že klíče dostanou v případě zájmu kromě uživatelů E 59 též vlastníci případně uživatelé rekreačních objektů č. E 58 a E 57 a sdružení SK8 Slalom zaručí udržování pozemku v řádném stavu a čistotě.",
