"classification","id"
"Navrhující strana","NMFM"
"Navrhující strana","ANO"
"Navrhující strana","ÄŒSSD"
"Navrhující strana","KSÄŒM"
"Navrhující strana","KDU-ÄŒSL"
"Navrhující strana","NezaÅ™azen"
