"group:id","option","vote_event:id","voter:id"
"NMFM","ZDRŽEL SE","454140","Adamec Martin, MUDr."
"ANO","ZDRŽEL SE","454140","Bártek Miroslav, Ing."
"ANO","PRO","454140","Brückner Michal, MUDr."
"NMFM","ZDRŽEL SE","454140","Chlebek Tomáš"
"ČSSD","ZDRŽEL SE","454140","Chýlek Jaroslav, Ing., MBA"
"ČSSD","PRO","454140","Čubová Lenka"
"ČSSD","PRO","454140","Deutscher Karel"
"KSČM","NEHLASOVAL","454140","Dokoupil Miroslav, JUDr."
"ANO","ZDRŽEL SE","454140","Gaj Petr, Bc."
"KSČM","ZDRŽEL SE","454140","Holý Pavel"
"ANO","PRO","454140","Horký Jaromír, PaedDr."
"NMFM","PRO","454140","Kajzar Jiří, Ing."
"KSČM","PRO","454140","Kališ Dalibor, Ing."
"KDU-ČSL","PROTI","454140","Koval Libor"
"ČSSD","PRO","454140","Kozák Petr, MUDr."
"ANO","PRO","454140","Kubský Vladimír"
"ČSSD","PROTI","454140","Machala Pavel, Bc."
"ANO","PRO","454140","Marenčok Jan"
"ANO","PRO","454140","Míček Jakub, Bc."
"KSČM","PRO","454140","Mohylová Eva, Mgr."
"ČSSD","ZDRŽEL SE","454140","Novosad Radek"
"ANO","NEHLASOVAL","454140","Otipka Boleslav, RNDr."
"ČSSD","ZDRŽEL SE","454140","Pobucký Michal, Mgr. DiS."
"KDU-ČSL","PRO","454140","Přádka Miroslav, MUDr. Ing. PhD."
"ANO","PRO","454140","Řehová Adéla, Ing."
"ČSSD","PROTI","454140","Richtrová Eva, Ing."
"ANO","PRO","454140","Ryška Jaroslav"
"NMFM","ZDRŽEL SE","454140","Schäferová Silvie, Ing."
"ANO","PRO","454140","Šebestová Doris, Mgr."
"KDU-ČSL","PRO","454140","Sikora Marcel"
"NMFM","PRO","454140","Šimoňák Marek, Mgr. et Bc."
"ČSSD","PROTI","454140","Skotnica Petr"
"ČSSD","PRO","454140","Slezák Miroslav"
"NMFM","ZDRŽEL SE","454140","Šponerová Kamila, Ing."
"KSČM","PRO","454140","Staněk Oldřich, Mgr."
"ANO","NEHLASOVAL","454140","Urban Ondřej, MUDr. Ph.D."
"ANO","PROTI","454140","Valach Milan"
"ANO","PRO","454140","Varcholová Pavlína, Ing."
